mode,token_budget,count,exact_match,avg_steps,avg_llm_calls,avg_generated_tokens,aggregate_json
tdca,1200,30,0.06666666666666667,2.4,3.2,304.1333333333333,/workspace/TDCA/exp_outputs/tdca_grid_20260411_154404_algo1200/tdca_tok1200/aggregate.json
greedy,1200,30,0.06666666666666667,2.4,3.2,283.8,/workspace/TDCA/exp_outputs/tdca_grid_20260411_154404_algo1200/greedy_tok1200/aggregate.json
no_diffusion,1200,30,0.06666666666666667,2.4,3.2,307.9,/workspace/TDCA/exp_outputs/tdca_grid_20260411_154404_algo1200/no_diffusion_tok1200/aggregate.json
