mode,token_budget,count,metric_exact_match,metric_f1,metric_rouge1_f,metric_rouge2_f,metric_rougeL_f,metric_bleu1,metric_bleu2,metric_bleu3,metric_bleu4,metric_meteor,metrics_json
tdca,1200,30,0.2,0.2,0.2,0.066667,0.2,0.2,0.066667,0.066667,0.033333,0.2,/workspace/TDCA/exp_outputs/tdca_grid_20260413_094011_algo1200/tdca_tok1200/metrics/metrics_aggregate.json
greedy,1200,30,0.2,0.2,0.2,0.066667,0.2,0.2,0.066667,0.066667,0.033333,0.2,/workspace/TDCA/exp_outputs/tdca_grid_20260413_094011_algo1200/greedy_tok1200/metrics/metrics_aggregate.json
no_diffusion,1200,30,0.2,0.2,0.2,0.066667,0.2,0.2,0.066667,0.066667,0.033333,0.2,/workspace/TDCA/exp_outputs/tdca_grid_20260413_094011_algo1200/no_diffusion_tok1200/metrics/metrics_aggregate.json
