mode,token_budget,count,exact_match,avg_steps,avg_llm_calls,avg_generated_tokens,aggregate_json
tdca,1200,30,0.2,2.1333333333333333,2.8333333333333335,368.8666666666667,/workspace/TDCA/exp_outputs/tdca_grid_20260413_094011_algo1200/tdca_tok1200/aggregate.json
greedy,1200,30,0.2,2.1666666666666665,2.9,378.53333333333336,/workspace/TDCA/exp_outputs/tdca_grid_20260413_094011_algo1200/greedy_tok1200/aggregate.json
no_diffusion,1200,30,0.2,2.1666666666666665,2.9,365.1666666666667,/workspace/TDCA/exp_outputs/tdca_grid_20260413_094011_algo1200/no_diffusion_tok1200/aggregate.json
