mode,token_budget,count,exact_match,avg_steps,avg_llm_calls,avg_generated_tokens,aggregate_json
tdca,1200,30,0.13333333333333333,2.2,10.066666666666666,770.5,/workspace/TDCA/exp_outputs/tdca_grid_20260329_152939_algo1200/tdca_tok1200/aggregate.json
greedy,1200,30,0.13333333333333333,2.2,10.066666666666666,770.5,/workspace/TDCA/exp_outputs/tdca_grid_20260329_152939_algo1200/greedy_tok1200/aggregate.json
no_diffusion,1200,30,0.13333333333333333,2.2,10.066666666666666,770.5,/workspace/TDCA/exp_outputs/tdca_grid_20260329_152939_algo1200/no_diffusion_tok1200/aggregate.json
