mode,token_budget,count,exact_match,avg_steps,avg_llm_calls,avg_generated_tokens,aggregate_json
tdca,1200,30,0.36666666666666664,2.7333333333333334,3.3333333333333335,889.5333333333333,/workspace/TDCA/exp_outputs/tdca_grid_20260329_105807_algo1200/tdca_tok1200/aggregate.json
greedy,1200,30,0.4,2.8,3.433333333333333,920.9,/workspace/TDCA/exp_outputs/tdca_grid_20260329_105807_algo1200/greedy_tok1200/aggregate.json
no_diffusion,1200,30,0.3,3.0,3.6,969.4,/workspace/TDCA/exp_outputs/tdca_grid_20260329_105807_algo1200/no_diffusion_tok1200/aggregate.json
